signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.182.user.paintingco.post.3471,1240302964,paintingco,3471,, ,2024-10-11 16:35:06+00:00,https://t.me/paintingco/3471,,,2297,0,26,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.183.user.paintingco.post.3470,1240302964,paintingco,3470,,"Lorenzo Mattielli (1678/88?- 1748) Atlas figure upper. Belvedere palace, Vienna",2024-10-11 16:35:06+00:00,https://t.me/paintingco/3470,,,2309,0,25,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.184.user.paintingco.post.3469,1240302964,paintingco,3469,, ,2024-10-11 16:33:55+00:00,https://t.me/paintingco/3469,,,2087,0,10,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,4.981019872642204e+18,,"Luis Astete y Concha – Woman in wheat field, c. 1897-1910.jpg",,,,,,,,,,,,,,,
msg_iteration.185.user.paintingco.post.3468,1240302964,paintingco,3468,,by #Luis_Astete — 🇵🇪 Woman in wheat field year : #1897,2024-10-11 16:33:54+00:00,https://t.me/paintingco/3468,,,2259,0,19,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.186.user.paintingco.post.3467,1240302964,paintingco,3467,,"Nicola Samorì, Cunea. 2018",2024-10-10 17:46:41+00:00,https://t.me/paintingco/3467,,,2310,0,39,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.187.user.paintingco.post.3466,1240302964,paintingco,3466,, ,2024-10-10 17:44:00+00:00,https://t.me/paintingco/3466,,,2055,0,13,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,6.021564666050778e+18,,Hendrick_Cornelisz_van_Vliet_Interior_of_the_New_Church_at_Delft.jpg,,,,,,,,,,,,,,,
msg_iteration.188.user.paintingco.post.3465,1240302964,paintingco,3465,,"by #Hendrick_Cornelisz — 🇳🇱 Interior of the New Church at Delft, with the tomb of William the Silent, year: #1667",2024-10-10 17:43:59+00:00,https://t.me/paintingco/3465,,,2223,0,18,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.189.user.paintingco.post.3464,1240302964,paintingco,3464,,💎مجموعه ای کامل برای هنردوستان : 📼سینما | 🎵موسیقی 👩‍🎨نقاشی | 📸عکاسی 💬فلسفه | 📖ادبیات ⬇️ 😀https://t.me/addlist/IUqS4Ql01OA4NjA0 📌هماهنگ کننده: @Filmsofun,2024-10-09 18:40:03+00:00,https://t.me/paintingco/3464,,,1769,0,9,1,PeerChannel,2056154770.0,kherad_tabadol,2024-10-09 06:11:16,2024-10-09,https://t.me/kherad_tabadol/35,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.191.user.paintingco.post.3462,1240302964,paintingco,3462,, ,2024-10-09 17:37:02+00:00,https://t.me/paintingco/3462,,,2403,0,21,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.192.user.paintingco.post.3461,1240302964,paintingco,3461,, ,2024-10-09 17:37:02+00:00,https://t.me/paintingco/3461,,,2364,0,22,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.193.user.paintingco.post.3460,1240302964,paintingco,3460,,"Dying warrior, Year : 490 BC - 480 BC",2024-10-09 17:37:02+00:00,https://t.me/paintingco/3460,,,2014,0,21,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.194.user.paintingco.post.3458,1240302964,paintingco,3458,, ,2024-10-09 17:30:04+00:00,https://t.me/paintingco/3458,,,1931,0,10,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,4.956432898564556e+18,,"Candido Portinari – Homem bebendo água, 1955.jpg",,,,,,,,,,,,,,,
msg_iteration.195.user.paintingco.post.3457,1240302964,paintingco,3457,,"by #Candido_Portinari — 🇧🇷 Homem bebendo água, year : #1955",2024-10-09 17:30:04+00:00,https://t.me/paintingco/3457,,,2063,0,19,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.196.user.paintingco.post.3456,1240302964,paintingco,3456,,"Ganymede and the Eagle,Bertel Thorvaldsen.",2024-10-08 05:45:04+00:00,https://t.me/paintingco/3456,,,2272,0,22,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.197.user.paintingco.post.3455,1240302964,paintingco,3455,, ,2024-10-08 05:30:35+00:00,https://t.me/paintingco/3455,,,2093,0,13,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/png,6.021564666050778e+18,,1210_hendrik_cornelisz_van_vliet_interior_oude_kerk_delft_1660.png,,,,,,,,,,,,,,,
msg_iteration.198.user.paintingco.post.3454,1240302964,paintingco,3454,,"by #Hendrick_Cornelisz — 🇳🇱 The Interior of the Oude Kerk in Delft, year: #1663",2024-10-08 05:30:35+00:00,https://t.me/paintingco/3454,,,2151,0,15,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.199.user.paintingco.post.3453,1240302964,paintingco,3453,,"Ginevra, Year :1838-1841",2024-10-07 18:05:02+00:00,https://t.me/paintingco/3453,,,2143,0,23,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.200.user.paintingco.post.3452,1240302964,paintingco,3452,, ,2024-10-07 18:01:27+00:00,https://t.me/paintingco/3452,,,1946,0,23,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,4.976660897448592e+18,,"Bacon – Portrait of George Dyer in a mirror, 1968.jpg",,,,,,,,,,,,,,,
msg_iteration.201.user.paintingco.post.3451,1240302964,paintingco,3451,,"by #Francis_Bacon — 🇮🇪 George Dyer in a mirror, year : #1968",2024-10-07 18:01:27+00:00,https://t.me/paintingco/3451,,,2036,0,21,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.202.user.paintingco.post.3450,1240302964,paintingco,3450,,"Marble statue of a member of the imperial family, Augustan or Julio-Claudian.",2024-10-06 18:02:02+00:00,https://t.me/paintingco/3450,,,2347,0,35,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.203.user.paintingco.post.3446,1240302964,paintingco,3446,,Roman Soldier 🏛,2024-10-05 18:39:58+00:00,https://t.me/paintingco/3446,,,2271,0,17,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.204.user.paintingco.post.3445,1240302964,paintingco,3445,, ,2024-10-05 05:45:27+00:00,https://t.me/paintingco/3445,,,2326,0,8,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,5.109542443942937e+18,,"Raphael Sanzio – Sistine Madonna, ca. 1513.jpg",,,,,,,,,,,,,,,
msg_iteration.205.user.paintingco.post.3444,1240302964,paintingco,3444,,"by #Raphael — 🇮🇹 Sistine Madonna, year: #1513",2024-10-05 05:45:27+00:00,https://t.me/paintingco/3444,,,2502,0,11,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.206.user.paintingco.post.3443,1240302964,paintingco,3443,, ,2024-10-04 15:44:39+00:00,https://t.me/paintingco/3443,,,2259,0,18,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.207.user.paintingco.post.3442,1240302964,paintingco,3442,,"Marble head from a statue of a Gaul, 2nd century AD, based on a Greek original from 250-180BC.",2024-10-04 15:44:39+00:00,https://t.me/paintingco/3442,,,2362,0,18,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.208.user.paintingco.post.3441,1240302964,paintingco,3441,, ,2024-10-04 15:31:34+00:00,https://t.me/paintingco/3441,,,2103,0,12,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,5.163803132320286e+18,,"Hans_Nikolaj_Hansen,_Kvinder_på_heden,_1881,_KMS3245,_Statens_Museum.jpg",,,,,,,,,,,,,,,
msg_iteration.209.user.paintingco.post.3440,1240302964,paintingco,3440,,"by #Hans_Nikolaj_Hansen — 🇩🇰 showing two women at work in the heather, year: 1881",2024-10-04 15:31:33+00:00,https://t.me/paintingco/3440,,,2219,0,20,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.210.user.paintingco.post.3437,1240302964,paintingco,3437,,"Istanbul Archaeology Museums, Statue of Artemis, marble, Mytilene, Lesbos, a copy of a 4th BC",2024-10-03 18:03:13+00:00,https://t.me/paintingco/3437,,,2319,0,11,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.211.user.paintingco.post.3436,1240302964,paintingco,3436,, ,2024-10-03 18:00:37+00:00,https://t.me/paintingco/3436,,,2144,0,23,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/png,5.163803132320286e+18,,Hans_Nikolaj_Hansen_-_Modellen_hviler_-_1886.png,,,,,,,,,,,,,,,
msg_iteration.212.user.paintingco.post.3435,1240302964,paintingco,3435,,"by #Hans_Nikolaj_Hansen — 🇩🇰 The model takes a break, year:1886",2024-10-03 18:00:37+00:00,https://t.me/paintingco/3435,,,2373,0,33,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.213.user.paintingco.post.3434,1240302964,paintingco,3434,, ,2024-10-02 19:46:58+00:00,https://t.me/paintingco/3434,,,2296,0,32,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.214.user.paintingco.post.3433,1240302964,paintingco,3433,, ,2024-10-02 19:46:58+00:00,https://t.me/paintingco/3433,,,2501,0,33,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.215.user.paintingco.post.3432,1240302964,paintingco,3432,, ,2024-10-02 19:46:57+00:00,https://t.me/paintingco/3432,,,2303,0,31,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.216.user.paintingco.post.3431,1240302964,paintingco,3431,,"Statue of Perseus with Head of Medusa, Benvenuto Cellini, 1545-1554, Loggia dei Lanzi, Florence, Italy",2024-10-02 19:46:57+00:00,https://t.me/paintingco/3431,,,2168,0,32,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.217.user.paintingco.post.3430,1240302964,paintingco,3430,, ,2024-10-02 17:49:11+00:00,https://t.me/paintingco/3430,,,2101,0,14,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,5.163803132320286e+18,,Oberhausen_Gasometer_Der_schöne_Schein_Mondaufgang_am_Meer_Caspar.jpg,,,,,,,,,,,,,,,
msg_iteration.218.user.paintingco.post.3429,1240302964,paintingco,3429,,"by #Caspar_David_Friedrich — 🇩🇪 Moonrise at sea, year: #1822",2024-10-02 17:49:10+00:00,https://t.me/paintingco/3429,,,2221,0,21,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.219.user.paintingco.post.3428,1240302964,paintingco,3428,,The Penitent Magdalene Antonio Canova,2024-10-01 18:25:07+00:00,https://t.me/paintingco/3428,,,2337,0,28,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.220.user.paintingco.post.3427,1240302964,paintingco,3427,, ,2024-10-01 18:14:23+00:00,https://t.me/paintingco/3427,,,2201,0,36,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,5.163803132320286e+18,,Caspar_David_Friedrich_Der_einsame_Baum_Google_Art_Project.jpg,,,,,,,,,,,,,,,
msg_iteration.221.user.paintingco.post.3426,1240302964,paintingco,3426,,by #Caspar_David_Friedrich — 🇩🇪 Village Landscape in Morning Light (The Lone Tree) year: #1822,2024-10-01 18:14:21+00:00,https://t.me/paintingco/3426,,,2259,0,35,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.222.user.paintingco.post.3425,1240302964,paintingco,3425,,"150 Meter aluminum sea serpent skeleton sculpture in Nantes, France. Artist, Huang Yong Ping",2024-09-30 18:06:13+00:00,https://t.me/paintingco/3425,,,2315,0,24,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.223.user.paintingco.post.3424,1240302964,paintingco,3424,, ,2024-09-30 17:59:30+00:00,https://t.me/paintingco/3424,,,1941,0,11,0,,,,,,,0,,,1,MessageMediaDocument,0,,,,,image/jpeg,5.163803132320286e+18,,Victor-Gabriel_Gilbert_-_Un_coin_des_halles.jpg,,,,,,,,,,,,,,,
